Step,ambient,mode,amplitude,freq_nominal,amp_nominal,range,Resistance Type (OHMS only),2Wire Comp (OHMS only),Shunt serial number (DCI/ACI only),"Shunt current rating, Amps (DCI/ACI only)",dmm,amp_actual,freq_actual,PPM Uncertainty,Floor Uncertainty (micro unit),Total Basic Error,Temp Adder PPM Uncertainty,Temp Adder Floor Uncertainty (micro unit),Total Temp Adder Error,Two Wire Comp Adder (Resistance only)(ohms),total_error,Lower Limit,Upper Limit,reading_error,PercentofLimit,passed
nan,23,DCI,5.00E-05,N/A,5.00E-05,nan,nan,nan,N/A,N/A,8588A,5.00E-05,N/A,42,0.007,9.10E-09,0,0,0,0,9.10E-09,5.00E-05,5.00E-05,-8.10E-10,-8.901098901,pass
nan,23,DCI,0.0001,N/A,1.00E-04,nan,nan,nan,N/A,N/A,8588A,1.00E-04,N/A,42,0.007,1.12E-08,0,0,0,0,1.12E-08,1.00E-04,0.000100011,-1.66E-09,-15,pass
nan,23,DCI,0.00015,N/A,1.50E-04,nan,nan,nan,N/A,N/A,8588A,0.000149998,N/A,42,0.007,1.33E-08,0,0,0,0,1.33E-08,0.000149987,0.000150013,-2.43E-09,75,pass
nan,23,DCI,0.0002,N/A,2.00E-04,nan,nan,nan,N/A,N/A,8588A,0.000199997,N/A,42,0.007,1.54E-08,0,0,0,0,1.54E-08,0.000199985,0.000200015,-3.27E-09,150,fail
nan,23,DCI,0.0003,N/A,3.00E-04,nan,nan,nan,N/A,N/A,8588A,0.0003,N/A,35,0.008,1.85E-08,0,0,0,0,1.85E-08,0.000299981,0.000300019,-4.00E-10,150,fail
nan,23,DCI,0.00075,N/A,7.50E-04,nan,nan,nan,N/A,N/A,8588A,0.000749997,N/A,35,0.008,3.43E-08,0,0,0,0,3.43E-08,0.000749966,0.000750034,-3.50E-09,125,fail
nan,23,DCI,0.001,N/A,1.00E-03,nan,nan,nan,N/A,N/A,8588A,0.000999995,N/A,35,0.008,4.30E-08,0,0,0,0,4.30E-08,0.000999957,0.001000043,-5.40E-09,-115,fail
nan,23,DCI,0.0015,N/A,1.50E-03,nan,nan,nan,N/A,N/A,8588A,0.001499991,N/A,35,0.008,6.05E-08,0,0,0,0,6.05E-08,0.00149994,0.001500061,-9.10E-09,105,fail
nan,23,DCI,0.002,N/A,2.00E-03,nan,nan,nan,N/A,N/A,8588A,0.001999988,N/A,35,0.008,7.80E-08,0,0,0,0,7.80E-08,0.001999922,0.002000078,-1.24E-08,25,pass
nan,23,DCI,0.005,N/A,5.00E-03,nan,nan,nan,N/A,N/A,8588A,0.004999968,N/A,35,0.05,2.25E-07,0,0,0,0,2.25E-07,0.004999775,0.005000225,-3.20E-08,-14,pass
nan,23,DCI,0.01,N/A,1.00E-02,nan,nan,nan,N/A,N/A,8588A,0.009999942,N/A,35,0.05,4.00E-07,0,0,0,0,4.00E-07,0.0099996,0.0100004,-5.80E-08,-14.5,pass
nan,23,DCI,0.015,N/A,1.50E-02,nan,nan,nan,N/A,N/A,8588A,0.014999922,N/A,35,0.05,5.75E-07,0,0,0,0,5.75E-07,0.014999425,0.015000575,-7.80E-08,-13.56521739,pass
nan,23,DCI,0.02,N/A,2.00E-02,nan,nan,nan,N/A,N/A,8588A,0.019999906,N/A,35,0.05,7.50E-07,0,0,0,0,7.50E-07,0.01999925,0.02000075,-9.40E-08,-12.53333333,pass
nan,23,DCI,0.05,N/A,5.00E-02,nan,nan,nan,N/A,N/A,8588A,0.05000045,N/A,45,0.8,3.05E-06,0,0,0,0,3.05E-06,0.04999695,0.05000305,4.50E-07,14.75409836,pass
nan,23,DCI,0.1,N/A,1.00E-01,nan,nan,nan,N/A,N/A,8588A,0.10000059,N/A,45,0.8,5.30E-06,0,0,0,0,5.30E-06,0.0999947,0.1000053,5.90E-07,176,fail
nan,23,DCI,0.15,N/A,1.50E-01,nan,nan,nan,N/A,N/A,8588A,0.15000064,N/A,45,0.8,7.55E-06,0,0,0,0,7.55E-06,0.14999245,0.15000755,6.40E-07,100,fail
nan,23,DCI,0.2,N/A,2.00E-01,nan,nan,nan,N/A,N/A,8588A,0.20000066,N/A,45,0.8,9.80E-06,0,0,0,0,9.80E-06,0.1999902,0.2000098,6.60E-07,115,fail
nan,23,DCI,0.5,N/A,5.00E-01,nan,nan,nan,N/A,N/A,8588A,0.5000073,N/A,70,15,5.00E-05,0,0,0,0,5.00E-05,0.49995,0.50005,7.30E-06,14.6,pass
nan,23,DCI,0.75,N/A,7.50E-01,nan,nan,nan,N/A,N/A,8588A,0.7500092,N/A,70,15,6.75E-05,0,0,0,0,6.75E-05,0.7499325,0.7500675,9.20E-06,99,pass
nan,23,DCI,1,N/A,1.00E+00,nan,nan,nan,N/A,N/A,8588A,1.0000104,N/A,70,15,8.50E-05,0,0,0,0,8.50E-05,0.999915,1.000085,1.04E-05,76,pass
nan,23,DCI,1.5,N/A,1.50E+00,nan,nan,nan,N/A,N/A,8588A,1.5000096,N/A,70,15,0.00012,0,0,0,0,0.00012,1.49988,1.50012,9.60E-06,55,pass
nan,23,DCI,2,N/A,2.00E+00,nan,nan,nan,N/A,N/A,8588A,2.0000048,N/A,70,15,0.000155,0,0,0,0,0.000155,1.999845,2.000155,4.80E-06,56,pass
nan,23,DCI,2.2,N/A,2.20E+00,nan,nan,nan,N/A,N/A,8588A,2.200021,N/A,70,15,0.000169,0,0,0,0,0.000169,2.199831,2.200169,2.10E-05,5,pass
